,Open,High,Low,Close,Volume
2025-07-21 14:10:00,0.9326,0.9329,0.9325,0.9325,0.0
2025-07-21 14:15:00,0.9328,0.9328,0.9324,0.9326,0.0
2025-07-21 14:20:00,0.9325,0.9329,0.9324,0.9327,0.0
2025-07-21 14:25:00,0.9328,0.9329,0.9326,0.9327,0.0
2025-07-21 14:30:00,0.9328,0.9329,0.9326,0.9327,0.0
2025-07-21 14:35:00,0.9329,0.933,0.9326,0.9327,0.0
2025-07-21 14:40:00,0.9328,0.933,0.9325,0.9327,0.0
2025-07-21 14:45:00,0.9325,0.9329,0.9325,0.9326,0.0
2025-07-21 14:50:00,0.9329,0.9329,0.9325,0.9327,0.0
2025-07-21 14:55:00,0.9326,0.9329,0.9326,0.9327,0.0
2025-07-21 15:00:00,0.9328,0.933,0.9326,0.9328,0.0
2025-07-21 15:05:00,0.9329,0.933,0.9326,0.9328,0.0
2025-07-21 15:10:00,0.9327,0.9331,0.9327,0.9328,0.0
2025-07-21 15:15:00,0.9329,0.933,0.9327,0.9329,0.0
2025-07-21 15:20:00,0.9328,0.9332,0.9328,0.9329,0.0
2025-07-21 15:25:00,0.933,0.9333,0.9329,0.9331,0.0
2025-07-21 15:30:00,0.9329,0.9332,0.9329,0.933,0.0
2025-07-21 15:35:00,0.9329,0.9332,0.9329,0.9331,0.0
2025-07-21 15:40:00,0.9328,0.9333,0.9328,0.9332,0.0
2025-07-21 15:45:00,0.933,0.9333,0.933,0.933,0.0
2025-07-21 15:50:00,0.9331,0.9333,0.933,0.9331,0.0
2025-07-21 15:55:00,0.9332,0.9333,0.9328,0.9329,0.0
2025-07-21 16:00:00,0.933,0.9332,0.9329,0.933,0.0
2025-07-21 16:05:00,0.9329,0.9334,0.9328,0.933,0.0
2025-07-21 16:10:00,0.9331,0.9333,0.933,0.9332,0.0
2025-07-21 16:15:00,0.933,0.9332,0.9329,0.9332,0.0
2025-07-21 16:20:00,0.933,0.9332,0.9329,0.9329,0.0
2025-07-21 16:25:00,0.9332,0.9333,0.9329,0.933,0.0
2025-07-21 16:30:00,0.9332,0.9332,0.9329,0.9332,0.0
2025-07-21 16:35:00,0.933,0.9332,0.9328,0.9332,0.0
2025-07-21 16:40:00,0.9329,0.9332,0.9326,0.9329,0.0
2025-07-21 16:45:00,0.9326,0.9331,0.9326,0.9327,0.0
2025-07-21 16:50:00,0.9328,0.9331,0.9325,0.9326,0.0
2025-07-21 16:55:00,0.933,0.933,0.9326,0.9326,0.0
2025-07-21 17:00:00,0.9325,0.9335,0.9324,0.9331,0.0
2025-07-21 17:05:00,0.933,0.9335,0.933,0.9335,0.0
2025-07-21 17:10:00,0.9331,0.9332,0.9325,0.9329,0.0
2025-07-21 17:15:00,0.9322,0.9326,0.9322,0.9326,0.0
2025-07-21 17:20:00,0.9327,0.9328,0.9326,0.9327,0.0
2025-07-21 17:25:00,0.9326,0.9328,0.9323,0.9327,0.0
2025-07-21 17:30:00,0.9329,0.933,0.9328,0.9328,0.0
2025-07-21 17:35:00,0.9329,0.9331,0.9325,0.9329,0.0
2025-07-21 17:40:00,0.933,0.9332,0.9324,0.9327,0.0
2025-07-21 17:45:00,0.9328,0.9331,0.9324,0.9326,0.0
2025-07-21 17:50:00,0.9324,0.933,0.9323,0.9329,0.0
2025-07-21 17:55:00,0.9328,0.9331,0.9325,0.933,0.0
2025-07-21 18:00:00,0.9331,0.9331,0.9329,0.9329,0.0
2025-07-21 18:05:00,0.9328,0.9333,0.9324,0.9326,0.0
2025-07-21 18:10:00,0.9328,0.9329,0.9323,0.9326,0.0
2025-07-21 18:15:00,0.9325,0.9329,0.9323,0.9326,0.0
2025-07-21 18:20:00,0.9324,0.9328,0.9323,0.9327,0.0
2025-07-21 18:25:00,0.9324,0.9327,0.9323,0.9326,0.0
2025-07-21 18:30:00,0.9329,0.9329,0.9324,0.9324,0.0
2025-07-21 18:35:00,0.9328,0.9329,0.9324,0.9326,0.0
2025-07-21 18:40:00,0.9325,0.9331,0.9325,0.9327,0.0
2025-07-21 18:45:00,0.9326,0.9331,0.9325,0.9328,0.0
2025-07-21 18:50:00,0.9327,0.9332,0.9326,0.9332,0.0
2025-07-21 18:55:00,0.933,0.9332,0.9327,0.933,0.0
2025-07-21 19:00:00,0.9329,0.9332,0.9327,0.9329,0.0
2025-07-21 19:05:00,0.9332,0.9332,0.9328,0.933,0.0
2025-07-21 19:10:00,0.9329,0.9333,0.9329,0.9329,0.0
2025-07-21 19:15:00,0.9328,0.9332,0.9328,0.9329,0.0
2025-07-21 19:20:00,0.9331,0.9332,0.9329,0.9329,0.0
2025-07-21 19:25:00,0.9332,0.9333,0.9329,0.9329,0.0
2025-07-21 19:30:00,0.9331,0.9332,0.9328,0.933,0.0
2025-07-21 19:35:00,0.9332,0.9333,0.9329,0.9331,0.0
2025-07-21 19:40:00,0.933,0.9333,0.9329,0.9331,0.0
2025-07-21 19:45:00,0.933,0.9333,0.9329,0.9332,0.0
2025-07-21 19:50:00,0.9333,0.9333,0.9329,0.9331,0.0
2025-07-21 19:55:00,0.933,0.9333,0.9329,0.933,0.0
2025-07-21 20:00:00,0.9329,0.9333,0.9329,0.9331,0.0
2025-07-21 20:05:00,0.9329,0.9334,0.9328,0.9331,0.0
2025-07-21 20:10:00,0.9332,0.9334,0.933,0.9331,0.0
2025-07-21 20:15:00,0.9332,0.9336,0.9331,0.9334,0.0
2025-07-21 20:20:00,0.9333,0.9337,0.9332,0.9334,0.0
2025-07-21 20:25:00,0.9333,0.9336,0.933,0.9334,0.0
2025-07-21 20:30:00,0.9332,0.9335,0.933,0.9332,0.0
2025-07-21 20:35:00,0.9334,0.9334,0.9329,0.933,0.0
2025-07-21 20:40:00,0.9329,0.9332,0.9329,0.933,0.0
2025-07-21 20:45:00,0.9329,0.9333,0.9329,0.933,0.0
2025-07-21 20:50:00,0.9329,0.9333,0.9329,0.9331,0.0
2025-07-21 20:55:00,0.933,0.9332,0.9325,0.9325,0.0
2025-07-21 21:00:00,0.9327,0.9331,0.9325,0.9327,0.0
2025-07-21 21:05:00,0.9328,0.9331,0.9326,0.9329,0.0
2025-07-21 21:10:00,0.9328,0.9332,0.9327,0.9328,0.0
2025-07-21 21:15:00,0.9327,0.9331,0.9327,0.9329,0.0
2025-07-21 21:20:00,0.9328,0.9331,0.9326,0.9327,0.0
2025-07-21 21:25:00,0.9326,0.9329,0.9325,0.9328,0.0
2025-07-21 21:30:00,0.9327,0.933,0.9326,0.9328,0.0
2025-07-21 21:35:00,0.9326,0.9331,0.9326,0.9326,0.0
2025-07-21 21:40:00,0.9327,0.933,0.9325,0.9328,0.0
2025-07-21 21:45:00,0.9326,0.933,0.9326,0.9328,0.0
2025-07-21 21:50:00,0.9327,0.9331,0.9325,0.9327,0.0
2025-07-21 21:55:00,0.9326,0.9329,0.9325,0.9327,0.0
2025-07-21 22:00:00,0.9328,0.933,0.9325,0.9327,0.0
2025-07-21 22:05:00,0.9328,0.933,0.9325,0.9329,0.0
2025-07-21 22:10:00,0.9328,0.933,0.9325,0.9326,0.0
2025-07-21 22:15:00,0.9327,0.933,0.9324,0.9324,0.0
2025-07-21 22:20:00,0.9326,0.9329,0.9324,0.9326,0.0
2025-07-21 22:25:00,0.9328,0.9329,0.9325,0.9327,0.0
2025-07-21 22:30:00,0.9326,0.9328,0.9324,0.9326,0.0
2025-07-21 22:35:00,0.9325,0.9329,0.9324,0.9326,0.0
2025-07-21 22:40:00,0.9325,0.9329,0.9325,0.9327,0.0
2025-07-21 22:45:00,0.9329,0.9329,0.9324,0.9327,0.0
2025-07-21 22:50:00,0.9326,0.9327,0.9323,0.9326,0.0
2025-07-21 22:55:00,0.9325,0.9328,0.9324,0.9326,0.0
2025-07-21 23:00:00,0.9328,0.9329,0.9324,0.9326,0.0
2025-07-21 23:05:00,0.9329,0.9329,0.9324,0.9326,0.0
2025-07-21 23:10:00,0.9328,0.9329,0.9323,0.9324,0.0
2025-07-21 23:15:00,0.9323,0.9328,0.9323,0.9325,0.0
2025-07-21 23:20:00,0.9327,0.9327,0.9323,0.9325,0.0
2025-07-21 23:25:00,0.9326,0.9329,0.9323,0.9325,0.0
2025-07-21 23:30:00,0.9327,0.9329,0.9325,0.9327,0.0
